Feature,Importance
deletions_contains_versioning_change,0.0
numObjects_delta,0.0
numComparisonOperators_delta,0.0
additions_diffusion,0.022753456221198193
textEntropyMeasure,0.009504608294930914
numNestedBlocks_delta,0.00028801843317972605
deletions_contains_value_output_change,0.0
code_ownership,0.00028801843317972605
isResource,0.004320276497695891
numElemTuples_delta,0.0005760368663594521
numImplicitDependentLocals_delta,0.0008640552995391781
isVariable,0.0
numEmptyString_delta,0.0
numDeprecatedFunctions_delta,0.0
numSplatExpressions_delta,0.0
numConditions_delta,0.0
numImplicitDependentProviders_delta,0.0
numImplicitDependentModules_delta,0.0
deletions_contains_default_change,0.0
numImplicitDependentVars_delta,0.0
additions_contains_value_output_change,0.0
numExplicitResourceDependency_delta,0.0
rexp,0.04205069124423967
numIndexAccess_delta,0.0
numImplicitDependentProviders,0.0
numImplicitDependentData_delta,0.008064516129032325
numTuples,0.0005760368663594521
additions_contains_versioning_change,0.0
numFunctionCall_delta,0.0
numImplicitDependentResources_delta,0.0008640552995391781
isProvider,0.0
additions_contains_type_change,0.006912442396313425
kexp,0.00028801843317972605
numMathOperations,0.0
numMetaArg_delta,0.0
isModule,0.0
num_unique_change,0.0014400921658986304
isLocals,0.0
additions_normalized,0.0020161290322580822
additions_contains_default_change,0.0
numLogiOpers,0.0
deletions_lines_normalized,0.016705069124424016
numLoops,0.0
nloc_delta,0.003168202764976983
numDynamicBlocks_delta,0.0
num_same_instances_changed_before,0.008640552995391753
exp,0.015552995391705115
numLinesHereDocs_delta,0.0
deletions_contains_type_change,0.0
numImplicitDependentVars,0.008064516129032305
