Feature,Importance
numMathOperations,-0.0032258064516129063
deletions_contains_type_change,0.0
numNestedBlocks,0.0056451612903225855
numImplicitDependentResources,0.004838709677419359
damerau_levenshtein_code_change_distance,0.022580645161290342
numImplicitDependentModules,-0.024193548387096794
numLookUpFunctionCall,0.004838709677419359
additions_diffusion,0.0
numParams_delta,0.017741935483870982
code_ownership,-0.008870967741935491
time_interval,0.0008064516129032266
numDynamicBlocks_delta,0.014516129032258077
isProvider,0.0
textEntropyMeasure,0.0
numElemTuples_delta,0.008870967741935491
isData,-0.0016129032258064531
numImplicitDependentLocals_delta,0.0024193548387096797
numImplicitDependentVars_delta,0.016935483870967757
numImplicitDependentResources_delta,-0.012903225806451625
numMathOperations_delta,0.0
nloc_delta,0.017741935483870982
deletions_contains_value_output_change,0.0
numLogiOpers_delta,0.004032258064516132
numTemplateExpression,0.0
additions_contains_type_change,0.0
sexp,0.0
numTemplateExpression_delta,0.0
kexp,0.0
numImplicitDependentData_delta,0.016935483870967757
numDeprecatedFunctions_delta,0.0
deletions_lines_normalized,-0.0008064516129032266
rexp,0.0
additions_contains_versioning_change,-0.0016129032258064531
numEmptyString_delta,0.0016129032258064531
additions_contains_value_output_change,-0.0016129032258064531
numLogiOpers,0.032258064516129045
numDebuggingFunctions,0.01612903225806453
additions_normalized,0.0
numExplicitResourceDependency_delta,-0.013709677419354851
numExplicitResourceDependency,-0.024193548387096794
isLocals,0.0016129032258064531
additions_contains_default_change,-0.004032258064516132
isModule,0.0
numElemObjects_delta,0.0016129032258064531
numMetaArg_delta,-0.01612903225806453
deletions_contains_default_change,-0.0064516129032258125
numImplicitDependentData,-0.014516129032258077
numSplatExpressions,0.0
numMetaArg,0.0
numImplicitDependentProviders,-0.012096774193548397
numSplatExpressions_delta,0.0
numIndexAccess_delta,0.008064516129032265
deletions_contains_versioning_change,-0.008870967741935491
numImplicitDependentProviders_delta,0.0
numImplicitDependentModules_delta,-0.022580645161290342
numLoops_delta,0.03548387096774196
numIndexAccess,-0.01854838709677421
numDeprecatedFunctions,-0.010483870967741945
num_unique_change,0.03629032258064519
